"Monetary_score","Total_quantity","recency_score","days_customer","churn"
12519,715,16,15503,"0"
7315.2,309,36,16964,"0"
3267.8,176,15,22442,"0"
1289,74,21,16598,"0"
6789,390,1,15137,"0"
3282,175,22,15503,"0"
16788,645,50,14407,"0"
19005,540,8,7449,"0"
13846.65,680,21,15868,"0"
9175,526,8,15503,"0"
16968,783,3,16233,"0"
1837,89,59,21712,"0"
960,40,56,12417,"0"
3126,178,43,12581,"0"
6504,178,0,19495,"0"
1772,84,21,12095,"0"
1315846.8,67617,1,11760,"0"
24105.2,712,2,15382,"0"
21470,1217,2,11585,"0"
2041.8,102,7,11584,"0"
4106,236,35,11579,"0"
4204,240,27,11405,"0"
9238,429,7,10649,"0"
9939,183,22,9978,"0"
16848.2,597,7,9980,"0"
10308,247,38,9964,"0"
8123,192,1,9964,"0"
10825,162,43,9964,"1"
14553.2,567,1,9969,"0"
5855,78,8,9976,"0"
3910.4,220,3,9968,"0"
9958,571,37,9964,"0"
11647,624,8,9962,"0"
13132,704,16,9782,"0"
12249,517,9,9946,"0"
1440,60,41,10209,"0"
4099,197,36,10159,"0"
4688,302,34,10104,"0"
2816,165,45,13586,"0"
4680,267,15,19029,"0"
19869.4,1136,1,10647,"0"
3805,40,30,13538,"0"
5797.6,316,10,10639,"0"
29628.4,1610,59,10957,"1"
2055,32,42,14330,"0"
7728,441,6,16064,"0"
24731.8,941,8,10646,"0"
9265,101,49,15060,"0"
1230,70,24,12396,"0"
6174,366,2,10571,"0"
9016,256,59,10558,"0"
1068,61,9,10414,"0"
6723,383,13,16812,"0"
2260,138,30,12446,"0"
1959,110,31,11970,"0"
2138.36,41,10,12662,"0"
7608,424,1,18059,"0"
10996,247,7,13191,"0"
1473.6,110,30,16964,"1"
895.05,100,23,11844,"1"
2813.7,309,38,18059,"0"
11827.4,457,6,16539,"0"
2770.6,124,20,11025,"0"
28225,343,8,13433,"0"
1453,83,10,12581,"0"
31841.2,1941,6,20299,"0"
29114,1255,59,19155,"0"
3949.2,435,10,17996,"0"
7343.4,342,2,10430,"0"
2899.85,309,38,16895,"0"
2708.77,102,21,14791,"0"
4344,78,21,12874,"0"
3594.9,411,10,12062,"0"
4383.6,209,22,10621,"0"
10349.09,526,15,23444,"0"
3075.6,121,10,13535,"0"
4509,369,38,15248,"0"
1899.2,200,15,15110,"0"
7404,297,6,11425,"0"
3539,175,1,12548,"0"
21305,274,13,10346,"0"
4413.6,248,52,11409,"0"
2973.55,303,6,11120,"0"
8100,87,2,11231,"0"
74206,2937,2,10305,"0"
5498.8,238,41,10330,"0"
4279.35,479,6,10573,"0"
2225,29,15,10269,"0"
2134,77,7,12460,"0"
5842.6,217,8,11242,"1"
4831.6,195,1,12441,"0"
23045,338,16,10695,"0"
3150,135,50,10243,"0"
2878.6,251,29,10213,"0"
16809.2,706,3,12473,"0"
6775,291,3,12789,"0"
1485,84,2,12345,"0"
49231,1922,3,10650,"0"
5073,263,23,19110,"0"
2233.2,144,2,10927,"0"
-39407.62,13,9,12874,"0"
11568.97,531,20,11390,"0"
