"","host_id","accommodates","review_scores_rating","distance","demand","entire_home","washer_drier","superhost","response","price_pp"
"1",1,3,97,4.53186309859202,1.79,1,1,1,86,98.3333333333333
"2",1,2,95,6.97374051955163,1.38,0,1,1,100,54.5
"3",1,5,98,7.00133112356628,25.8,1,1,0,60,67
"4",1,2,86,5.52005071477452,4.48,0,1,1,83,63.5
"5",1,4,97,3.99536424673922,1.15,1,0,0,100,415
"6",0,3,98,5.44462753323023,5.66,0,0,1,100,83
"7",1,2,94,5.16482942189611,4.25,0,1,1,100,92.5
"8",1,2,99,1.85375063681142,5.7,1,1,0,NA,97.5
"9",1,3,89,4.41837369611213,9,1,1,0,100,128.333333333333
"10",1,5,91,3.8763279453248,4.8,1,1,0,100,80.4
"11",1,2,92,2.61921981153778,7.2,1,1,0,100,147.5
"12",1,2,80,4.88355548664439,1.92,0,1,1,83,73.5
"13",1,2,64,5.08597872417876,1.92,0,1,1,83,73.5
"14",1,1,98,5.37142266903704,10.44,0,0,1,100,89
"15",1,4,95,6.05298483206763,6,1,1,1,100,127.25
"16",1,3,98,5.91999965523712,2.94,1,0,1,100,110
"17",1,4,96,3.37018745642072,3.9,1,1,0,100,175
"18",0,3,96,6.66167411877009,16.2,1,1,0,0,42.3333333333333
"19",1,2,97,4.14606886641093,8.32,0,0,1,91,70
"20",1,2,78,5.6967266283758,4.48,0,1,1,83,63.5
"21",1,1,98,6.96280617370204,6.45,0,0,1,100,128
"22",1,2,98,5.77044636857514,10.35,1,0,1,100,107.5
"23",1,2,98,5.96248429651944,5.14,0,1,1,100,119.5
"24",0,1,96,4.43536620001374,1.76,0,1,0,NA,79
"25",1,4,96,2.71856546821714,13.6,1,0,1,100,48.75
"26",1,2,99,7.44995473488371,4.75,0,1,1,100,92.5
"27",1,2,98,3.71134800269777,11.76,0,0,1,91,70
"28",1,3,95,5.4664703911232,10.96,0,0,1,100,68.3333333333333
"29",1,10,91,3.88906384916435,0.99,1,1,0,100,79
"30",0,4,96,5.24113685775924,0.52,0,0,1,100,93.5
"31",1,4,97,7.88314718376918,0.64,1,1,1,100,92.5
"32",1,4,99,8.3250847644386,1.1,1,0,1,100,48.75
"33",0,2,96,7.54920153624853,24.6,1,1,0,NA,75
"34",0,2,99,5.08093813161024,5.19,1,1,1,100,175
"35",1,2,95,6.67035536373813,6.3,1,0,1,100,131
"36",1,2,98,7.4643917437315,13.2,1,1,0,NA,79.5
"37",1,2,92,5.32410997549438,25.8,1,1,1,100,79
"38",1,3,94,5.3789052823759,1.96,1,1,1,100,93
"39",1,2,98,7.47131043279393,6.96,0,0,1,100,88.5
"40",1,4,96,5.77233301385735,27.9,1,1,1,100,102.5
"41",1,2,93,8.28025506288973,1.8,1,0,1,100,120
"42",1,2,87,8.22656415084647,1.2,1,0,1,100,120
"43",0,2,91,6.33323153754278,1.1,1,0,0,NA,52
"44",1,3,80,6.49686583798319,0.9,1,1,1,100,101.666666666667
"45",1,2,56,4.42000699246547,2.1,1,1,1,100,177
"46",1,4,100,6.32628007052548,0.9,1,0,0,NA,78.75
"47",1,2,94,5.43933482669851,3.78,1,0,1,100,95.5
"48",1,2,97,10.2240870431616,8.4,1,0,1,100,114
